volts	mAhg
3.86709392	110.9414248
3.86770428	111.0823947
3.86816205	111.2233684
3.86877241	111.3643383
3.86968795	111.5053083
3.87014572	111.646282
3.87090867	111.7872519
3.87151904	111.9282218
3.87197681	112.0691917
3.87273976	112.2101654
3.87335012	112.3511353
3.87411307	112.4921053
3.87472343	112.6330789
3.8751812	112.7740489
3.87579156	112.9150188
3.87640192	113.0559925
3.87731746	113.1969624
3.87792782	113.3379323
3.8783856	113.478906
3.87914855	113.6198759
3.8799115	113.7608459
3.88052186	113.9018195
3.88128481	114.0427895
3.88204776	114.1837594
3.88235294	114.3247331
3.8829633	114.465703
3.88387884	114.6066729
3.8844892	114.7476466
3.88509957	114.8886165
3.88586252	115.0295865
3.88647288	115.1705602
3.88723583	115.3115301
3.88799878	115.4525
3.88860914	115.5934737
3.88937209	115.7344436
3.88982986	115.8754135
3.89059281	116.0163872
3.89135576	116.1573571
3.89196612	116.2983271
3.89257649	116.4393008
3.89333944	116.5802707
3.89425498	116.7212406
3.89486534	116.8622143
3.8954757	117.0031842
3.89623865	117.1441541
3.8970016	117.2851278
3.89761196	117.4260977
3.8985275	117.5670677
3.89913787	117.7080414
3.89974823	117.8490113
3.90051118	117.9899812
3.90127413	118.1309549
3.90203708	118.2719248
3.90295262	118.4128947
3.90356298	118.5538684
3.90417334	118.6948383
3.9047837	118.8358083
3.90569924	118.976782
3.9064622	119.1177519
3.90722515	119.2587218
3.90783551	119.3996955
3.90844587	119.5406654
3.90920882	119.6816353
3.91012436	119.822609
3.91073472	119.9635789
3.91149767	120.1045489
3.91226062	120.2455226
3.91302358	120.3864925
3.91378653	120.5274624
3.91454948	120.6684361
3.91515984	120.809406
3.9157702	120.9503759
3.91668574	121.0913496
3.91760128	121.2323195
3.91836423	121.3732895
3.918822	121.5142632
3.91989014	121.6552331
3.92065309	121.796203
3.92141604	121.9371767
3.9220264	122.0781466
3.92278935	122.2191165
3.92370489	122.3600902
3.92431525	122.5010602
3.92523079	122.6420301
3.92599374	122.7830038
3.9266041	122.9239737
3.92751965	123.0649436
3.9282826	123.2059173
3.92904555	123.3468872
3.92965591	123.4878571
3.93072404	123.6288308
3.9313344	123.7698008
3.93209735	123.9107707
3.93301289	124.0517444
3.93362325	124.1927143
3.9345388	124.3336842
3.93530175	124.4746579
3.93591211	124.6156278
3.93682765	124.7565977
3.9375906	124.8975714
3.93850614	125.0385414
